Datum;Nummer 1;Nummer 2;Nummer 3;Nummer 4;Nummer 5;Ster 1;Ster 2
2009-12-25;4;5;14;17;34;3;5
2009-12-18;14;30;32;35;49;3;8
2009-12-11;20;41;43;44;46;2;9
2009-12-04;18;19;25;30;44;1;3
2009-11-27;5;8;13;15;33;8;9
2009-11-20;5;9;28;43;47;2;9
2009-11-13;13;15;25;26;32;3;4
2009-11-06;11;19;34;43;45;5;9
2009-10-30;9;33;35;38;40;2;6
2009-10-23;6;18;20;29;31;2;8
2009-10-16;12;23;30;31;47;3;4
2009-10-09;7;11;29;46;50;4;7
2009-10-02;22;23;24;29;44;1;5
2009-09-25;6;17;18;21;34;3;9
2009-09-18;6;16;30;38;41;2;4
2009-09-11;12;15;35;42;43;4;6
2009-09-04;6;9;20;38;39;3;9
2009-08-28;8;36;37;41;49;5;7
2009-08-21;4;7;16;31;42;3;5
2009-08-14;5;8;24;30;49;3;9
2009-08-07;10;20;22;24;31;2;7
2009-07-31;5;9;20;21;26;3;6
2009-07-24;14;15;25;35;47;5;9
2009-07-17;2;8;17;32;50;3;7
2009-07-10;6;16;20;42;46;1;6
2009-07-03;21;29;34;46;47;6;8
2009-06-26;6;11;21;30;39;2;8
2009-06-19;4;16;17;20;29;5;7
2009-06-12;6;14;16;34;50;4;6
2009-06-05;11;19;26;35;40;2;5
2009-05-29;2;5;30;37;47;3;6
2009-05-22;4;13;14;33;43;1;6
2009-05-15;8;18;19;20;42;5;9
2009-05-08;4;23;24;29;31;8;9
2009-05-01;5;19;31;38;47;3;5
2009-04-24;4;14;21;24;41;5;8
2009-04-17;4;7;21;44;47;1;5
2009-04-10;9;14;16;37;46;2;4
2009-04-03;2;20;24;32;46;1;9
2009-03-27;25;33;36;38;42;6;7
2009-03-20;12;16;23;31;35;4;6
2009-03-13;12;24;26;36;42;1;4
2009-03-06;13;17;19;25;35;5;6
2009-02-27;5;9;37;44;45;6;9
2009-02-20;9;12;13;14;48;1;2
2009-02-13;22;33;36;40;42;1;2
2009-02-06;10;20;30;36;40;3;5
2009-01-30;4;29;34;35;46;5;8
2009-01-23;32;33;36;40;49;2;8
2009-01-16;3;17;22;49;50;3;6
2009-01-09;7;15;22;28;48;1;4
2009-01-02;29;30;36;37;48;1;6
